"가맹점주소광역시도(SIDO)","가맹점주소시군구(SGG)","업종대분류(UPJONG_CLASS1)","기준일자(YMD)","고객주소집계구별(TOT_REG_CD)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"서울","","요식/유흥","20210414","1108062020701",22635,5
"서울","서대문구","전자상거래","20200511","1107070010302",34707,5
"경기","광진구","요식/유흥","20190523","1119074030001",1069730,5
"대전","강남구","요식/유흥","20190304","1120066010009",432334,5
"서울","","요식/유흥","20180420","1119061030002",22132,20
"광주","종로구","전자상거래","20170826","1103074050003",25150,10
"서울","부천시","유통","20190624","1116061030004",15090,30
"서울","마포구","요식/유흥","20160501","1108071020201",50300,5
"경남","마포구","요식/유흥","20190426","1118054010002",68509,10
"서울","관악구","유통","20200505","1115060020003",564869,25
"서울","양천구","음/식료품","20161209","1107055040005",125750,10
"서울","서초구","전자상거래","20170912","1124071030005",58851,5
"서울","파주시","여행/교통","20171211","1117052020801",226752,10
"서울","서초구","주유","20180508","1108081040003",58097,10
"서울","","전자상거래","20170222","1117052020306",34657,5
"서울","영등포구","전자상거래","20190114","1125073010801",322423,121
"서울","중랑구","가전/가구","20170622","1120056010004",1312327,10
"서울","중구","의료","20190327","1115066020902",44163,10
"서울","용인시","유통","20200309","1124055020007",22635,5
"부산","가평군","유통","20201225","1108076040002",513060,15
"서울","수원시","요식/유흥","20200828","1106087030011",50300,5
"서울","중구","요식/유흥","20160526","1112058010001",105630,15
"서울","송파구","가정생활/서비스","20180202","1104056030002",40240,35
"서울","","의료","20200508","1125073010003",80480,10
"서울","","의료","20160223","1105060030001",166191,5
"경북","구리시","유통","20180108","1124060020808",15090,10
"경기","성남시","가정생활/서비스","20180707","1124063020007",532677,20
"서울","중구","요식/유흥","20200714","1107068020011",417842,10
"경기","도봉구","의료","20171026","1121080020014",251500,5
"서울","마포구","요식/유흥","20190926","1116055030033",169159,5
"경기","중랑구","요식/유흥","20171220","1114066090002",35210,171
"경기","양천구","유통","20210113","1106091080801",206230,10
"서울","서초구","의료","20191004","1112059040401",1062839,5
"서울","광주시","유통","20200529","1125059010005",57342,5
"서울","노원구","가정생활/서비스","20160109","1123076010505",20120,5
"서울","","전자상거래","20190605","1111069010008",176050,5
"서울","동작구","의료","20171008","1117061010005",40240,5
"서울","송파구","주유","20210303","1102069030008",935580,5
"서울","서대문구","전자상거래","20161012","1102068020005",726835,10
"강원","","유통","20180720","1117054040006",22635,5
"서울","강남구","요식/유흥","20180127","1112073050011",135810,5
"서울","은평구","요식/유흥","20160131","1112057010017",5149865,5
"경기","옹진군","유통","20210617","1105059010011",101757,10
"인천","구리시","유통","20170116","1120072040106",898936,5
"경기","강남구","음/식료품","20160320","1122065010002",58348,15
"서울","동작구","유통","20190405","1117065020018",124493,10
"충남","구로구","요식/유흥","20170909","1111053030202",15845,30
"서울","시흥시","요식/유흥","20191219","1120052030003",119211,5
"서울","중랑구","요식/유흥","20201209","1117069030004",45270,161
"경기","화성시","요식/유흥","20190218","1119073020303",5099414,96
"경기","서대문구","스포츠/문화/레저","20210714","1115071020208",49797,5
"충북","관악구","유통","20190920","1111077030110",44264,5
"서울","","요식/유흥","20200404","1115071010309",11569,5
"서울","강남구","의료","20210519","1114061020005",169763,15
"서울","송파구","전자상거래","20170912","1108084020011",22635,5
"서울","은평구","가정생활/서비스","20180915","1119073060004",90540,5
"서울","동대문구","음/식료품","20190113","1109073010207",12575,5
"서울","강동구","주유","20170420","1124062010701",45270,5
"서울","안산시","요식/유흥","20200108","1124058010002",5030,10
"대구","파주시","전자상거래","20191225","1115071010302",45270,20
"경기","동작구","요식/유흥","20190201","1117051010202",135810,5
"서울","구로구","유통","20190714","1112071060204",47383,10
"경기","성북구","요식/유흥","20171027","1124080040103",22635,20
"서울","고양시","의료","20180618","1113068020021",135810,5
"경기","","의류/잡화","20180427","1124061010018",30180,5
"서울","구로구","요식/유흥","20210607","1105058020019",77462,5
"서울","마포구","자동차","20190806","1118058010103",47785,15
"서울","수원시","가정생활/서비스","20170206","1120053020202",40240,5
"인천","관악구","스포츠/문화/레저","20161219","1121071010103",1241303,5
"서울","마포구","음/식료품","20180313","1119054020001",22132,15
"서울","성남시","요식/유흥","20170119","1125063010004",22132,15
"서울","강남구","유통","20181106","1115058010015",428053,10
"서울","중구","요식/유흥","20200919","1112052050107",103719,5
"서울","용산구","전자상거래","20210729","1113076040001",22635,5
"경북","광진구","유통","20180919","1104056030005",52815,10
"서울","서대문구","요식/유흥","20191030","1108076030003",1214846,30
"서울","영등포구","전자상거래","20160705","1111069010402",20623,5
"서울","송파구","음/식료품","20170403","1104068010201",27665,5
"서울","시흥시","요식/유흥","20160820","1111077020108",22635,5
"경기","종로구","의료","20200927","1106088040004",75450,20
"서울","용산구","전자상거래","20180216","1112071060005",1092063,15
"경기","마포구","유통","20171022","1107060020001",16599,10
"강원","중구","요식/유흥","20180823","1120070030009",192649,5
"서울","동작구","요식/유흥","20210205","1115066021203",61869,10
"서울","김포시","유통","20210705","1101072010002",38681,5
"경기","","자동차","20210116","1117054010703",24647,5
"서울","성북구","스포츠/문화/레저","20160702","1112066010006",80480,10
"경기","종로구","요식/유흥","20160104","1121054010205",10060,10
"서울","평택시","유통","20190303","1108064020007",75450,5
"서울","송파구","음/식료품","20190326","1111053030312",71426,10
"서울","","유통","20170828","1104055030002",211250,5
"서울","성북구","스포츠/문화/레저","20170626","1104052010204",415528,5
"서울","중구","유통","20161113","1123065030202",173535,5
"경북","송파구","전자상거래","20180508","1108084010101",45270,15
"서울","","여행/교통","20171120","1123060011507",47785,116
"서울","양천구","의료","20160217","1115058030501",251500,5
"서울","성남시","유통","20200202","1111077060211",11066,5
"서울","성동구","유통","20180523","1115061011601",72935,5
"서울","마포구","유통","20170828","1122061020004",28168,45
"경기","마포구","요식/유흥","20180606","1110062020102",80882,5
"서울","마포구","스포츠/문화/레저","20200926","1124059020111",461754,10
"서울","용산구","주유","20210110","1121063011001",107139,15
"서울","","요식/유흥","20210729","1123059021901",266590,20
"서울","종로구","요식/유흥","20201219","1106082020002",18108,5
"서울","","요식/유흥","20190511","1108058020206",130780,5
"서울","노원구","요식/유흥","20191126","1120072030401",392843,5
"서울","성남시","유통","20180126","1116070040005",28420,35
"서울","중구","가정생활/서비스","20200727","1121068010021",81989,5
"서울","영등포구","전자상거래","20190520","1113075020201",12575,5
"서울","구로구","가전/가구","20180701","1123059010001",61366,5
"서울","강북구","가전/가구","20190828","1123076030202",236410,5
"서울","용산구","유통","20160708","1121062020001",112924,5
"경기","강서구","가정생활/서비스","20160715","1122053010006",256530,20
"서울","동작구","주유","20160719","1123076010005",35210,5
"서울","고양시","유통","20191116","1118055020018",50300,5
"서울","송파구","스포츠/문화/레저","20180414","1121063020401",19114,5
"서울","고양시","유통","20160505","1121069030001",140840,15
"서울","마포구","요식/유흥","20170131","1117072050013",43761,15
"서울","이천시","요식/유흥","20180605","1106091060005",26659,15
"서울","마포구","가정생활/서비스","20170101","1111052010803",21629,20
"서울","중구","요식/유흥","20181128","1122060020901",54827,15
"서울","마포구","가정생활/서비스","20190323","1115057010010",2863780,5
"서울","성북구","유통","20201228","1117056020010",150900,5
"충남","","유통","20200910","1123078040003",83498,5
"대전","서초구","유통","20160314","1124081022104",32947,5
"경기","","요식/유흥","20170614","1115051010003",286207,5
"서울","부천시","스포츠/문화/레저","20180107","1106089030001",45270,10
"부산","동대문구","유통","20200613","1112056010010",249991,5
"서울","용산구","요식/유흥","20170928","1122065020006",35713,15
"서울","양천구","전자상거래","20180901","1121080020001",14587,60
"서울","성남시","가전/가구","20210105","1123072010002",163475,5
"충북","용산구","유통","20170831","1108081020102",352100,5
"서울","영등포구","유통","20210706","1117061010005",22635,10
"서울","","요식/유흥","20161207","1105059010004",71426,10
"서울","강남구","유통","20180227","1111059050201",55330,5
"인천","","요식/유흥","20170813","1118051050001",384795,5
"서울","서대문구","요식/유흥","20181103","1110054020004",35713,5
"서울","강남구","유통","20190107","1112052040402",1001473,10
"경기","중랑구","요식/유흥","20160702","1106087030013",381526,5
"서울","영등포구","유통","20210126","1109064010008",400891,15
"경기","마포구","유통","20170711","1121080010032",2615600,10
"서울","마포구","전자상거래","20200301","1124058010007",380771,20
"서울","","전자상거래","20200731","1116064030304",17605,5
"경기","파주시","주유","20200110","1111051020306",380268,10
"서울","성남시","요식/유흥","20170925","1124064010005",736895,10
"서울","성동구","여행/교통","20190227","1124052030203",150900,5
"서울","서대문구","전자상거래","20180123","1117054020902",526928,35
"강원","동작구","여행/교통","20161006","1121083040005",126253,5
"서울","중구","자동차","20200214","1118051040006",44264,5
"경북","","요식/유흥","20180116","1122051010008",207236,5
"강원","성북구","음/식료품","20210202","1112060030302",22635,55
"대구","연수구","요식/유흥","20171215","1105059010002",31186,5
"서울","화성시","주유","20200805","1120053050003",22635,30
"서울","의정부시","요식/유흥","20180403","1104066010001",440226,5
"서울","중구","유통","20191205","1107055040008",58348,5
"서울","영등포구","전자상거래","20200727","1117056030004",706715,5
"서울","마포구","유통","20161109","1109064010004",299788,55
"서울","성북구","전자상거래","20200405","1124071040002",29677,5
"서울","파주시","주유","20210606","1113075030014",1509000,20
"서울","중구","주유","20210710","1125053020103",15090,10
"경기","서대문구","유통","20170909","1109072030002",1376661,10
"서울","고양시","음/식료품","20170113","1107061010013",343549,5
"서울","서대문구","가전/가구","20160713","1120069010501",128265,10
"서울","마포구","음/식료품","20170707","1116061030001",233291,60
"강원","성남시","음/식료품","20181121","1123065030001",10060,10
"제주","송파구","요식/유흥","20160218","1104059020005",15543,5
"서울","양주시","요식/유흥","20201217","1114073010007",201703,5
"서울","용산구","의류/잡화","20190522","1107055040004",181080,45
"경기","중구","요식/유흥","20170216","1103053020010",581418,5
"서울","안산시","가정생활/서비스","20180901","1111053010202",1200158,50
"경기","용산구","의류/잡화","20170827","1123077020120",251500,5
"경기","광주시","음/식료품","20191211","1120068030901",135307,5
"광주","","전자상거래","20201227","1111069010017",90540,5
"경기","강남구","유통","20170327","1114074010105",296770,5
"서울","의정부시","유통","20160412","1121069030009",1825085,15
"서울","강서구","요식/유흥","20190508","1112052020012",56839,5
"서울","관악구","유통","20210607","1124051010002",70923,15
"서울","서초구","요식/유흥","20160208","1117070010015",180074,5
"경기","강남구","유통","20180704","1110061010103",149391,5
"서울","송파구","주유","20200215","1107072010002",41850,5
"서울","","유통","20160616","1111079040205",528150,5
"서울","구로구","가정생활/서비스","20171027","1111078030104",25150,5
"서울","용산구","전자상거래","20180821","1123072020304",123034,10
"충남","양주시","유통","20180428","1105059010004",21629,15
"서울","고양시","의료","20171217","1116066010103",164395,10
"강원","남동구","전자상거래","20210506","1106091030004",910430,5
"서울","영등포구","요식/유흥","20170528","1115061010001",27665,5
"서울","중구","의료","20190325","1108066040101",105630,15
"서울","중구","유통","20160427","1123079060116",31488,5
"서울","중구","의료","20191016","1117068021205",73438,10
"서울","","유통","20170507","1123066020008",2052240,20
"경기","중구","유통","20191206","1115054010601",75450,5
"서울","구로구","유통","20190818","1123065040011",29174,10
"서울","강남구","스포츠/문화/레저","20210530","1124068020301",50300,5
"서울","고양시","전자상거래","20210523","1123075010305",204721,10
"충남","광진구","의류/잡화","20201014","1112067010004",201200,5
"서울","용산구","유통","20160313","1115051010801",931556,10
"서울","성북구","요식/유흥","20171215","1123079060109",99594,20
"경기","은평구","가정생활/서비스","20181024","1102072010109",209248,5
"서울","용산구","요식/유흥","20160801","1114061020006",129875,50
"서울","","스포츠/문화/레저","20180922","1121066030018",254015,5
"서울","","음/식료품","20180425","1124066010201",279165,5
"서울","중랑구","유통","20210601","1107071050009",22635,5
"경기","광진구","음/식료품","20160315","1105058030003",1559300,5
"서울","성동구","유통","20161214","1120055010005",15090,10
"서울","서초구","가정생활/서비스","20201224","1103058040003",120720,5
"대구","중구","요식/유흥","20160409","1104067010001",50300,15
"서울","구로구","요식/유흥","20200815","1124055010007",63881,5
"경기","강남구","음/식료품","20170223","1125059010220",15548,5
"서울","광진구","주유","20170105","1116051011401",45270,5
"서울","","의류/잡화","20161015","1119066020002",5785,10
"서울","강남구","주유","20190327","1105055020003",147379,5
"서울","구로구","요식/유흥","20210303","1125067020001",32695,5
"서울","","유통","20160528","1115066021101",201200,121
"서울","","전자상거래","20180515","1111059010104",14587,10
"서울","강남구","유통","20200214","1117064010026",4200503,10
"서울","마포구","유통","20191210","1117051040203",169511,10
"서울","영등포구","유통","20180120","1115052010009",80480,5
"서울","마포구","유통","20171025","1113064020010",503000,25
"서울","강동구","요식/유흥","20210427","1117069010901",69414,5
"서울","마포구","전자상거래","20161004","1110065030111",128265,55
"서울","금천구","전자상거래","20210117","1105063030904",150900,5
"전남","용산구","요식/유흥","20170406","1102071020101",197060,5
"서울","양천구","요식/유흥","20210714","1101069010001",861066,5
"강원","","가정생활/서비스","20190629","1111076020004",347070,5
"서울","송파구","전자상거래","20160301","1113073020001",962340,5
"서울","성남시","스포츠/문화/레저","20170731","1118051040005",311005,5
"서울","도봉구","음/식료품","20190313","1116071021401",240434,5
"경기","서대문구","음/식료품","20171107","1122053050003",8048,5
"경기","화성시","스포츠/문화/레저","20161112","1111065030603",115690,121
"서울","","유통","20170207","1113068030001",6850860,5
"서울","서대문구","유통","20181227","1105066021202",36518,5
"서울","","가정생활/서비스","20170514","1122054010211",2525060,10
"서울","부평구","유통","20180920","1110062020308",579959,5
"서울","강서구","가정생활/서비스","20180529","1107064040018",30180,5
"서울","마포구","유통","20200414","1108066030209",181080,5
"서울","파주시","유통","20210118","1108059020301",327554,5
"강원","고양시","교육/학원","20210531","1110055030003",10563,5
"서울","용산구","요식/유흥","20180104","1116072020204",70420,5
"대구","서대문구","요식/유흥","20170718","1124054010001",981856,5
"전북","","요식/유흥","20190205","1111053030602",32293,5
"서울","강남구","요식/유흥","20170708","1110057030301",40240,5
"경기","오산시","의료","20161029","1103063020401",192146,5
"서울","부천시","요식/유흥","20160408","1113072040202",35713,5
"경기","마포구","음/식료품","20201025","1107065040003",301448,86
"서울","광진구","유통","20180114","1112072030003",19617,5
"서울","마포구","의료","20170510","1113052010208",259045,35
"서울","마포구","전자상거래","20200207","1114073030011",22635,5
"서울","김포시","유통","20180205","1123071030001",963245,5
"경기","중구","요식/유흥","20210630","1113062010014",45270,5
"서울","중구","음/식료품","20171027","1108082030003",26156,5
"서울","서초구","요식/유흥","20170620","1112065030005",503000,5
"경기","서대문구","전자상거래","20181122","1111074030101",867449,5
"경기","부평구","전자상거래","20160715","1124071060005",226350,20
"서울","마포구","요식/유흥","20160929","1115058010007",64384,5
"경기","강화군","요식/유흥","20161203","1112055030011",19617,5
"서울","부천시","요식/유흥","20160528","1125074020031",85510,5
"서울","의정부시","유통","20160908","1112068020006",18108,5
"인천","은평구","미용","20200401","1115053020101",518090,5
"서울","용산구","미용","20190111","1124063020018",284698,20
"부산","중구","의류/잡화","20170116","1102070020003",25150,5
"서울","송파구","요식/유흥","20201216","1117067020301",9557,5
"서울","종로구","미용","20170910","1111074010109",40240,25
"서울","성남시","전자상거래","20180830","1120056010018",412963,15
"경기","마포구","주유","20180928","1120063020012",114835,10
"서울","성동구","요식/유흥","20160804","1115060042001",136313,5
"서울","송파구","스포츠/문화/레저","20160807","1116063010029",12575,15
"서울","영등포구","요식/유흥","20201212","1111052010105",6036,5
"대구","서초구","유통","20180707","1124071030002",503000,15
"서울","강남구","유통","20190502","1123080020101",206230,5
"서울","강서구","전자상거래","20170629","1116065020103",123235,10
"서울","영등포구","의료","20161208","1109072030008",34204,5
"서울","서대문구","요식/유흥","20160109","1124078010103",324883,10
"서울","성남시","요식/유흥","20201207","1125054010802",85862,15
"서울","송파구","전자상거래","20170406","1125065020012",393698,5
"인천","중랑구","요식/유흥","20170423","1119075040005",245062,5
"서울","용산구","유통","20180709","1121061020001",11066,5
"서울","중구","요식/유흥","20200314","1102071020002",15090,5
"서울","강남구","자동차","20160321","1119056040201",26156,80
"경기","관악구","미용","20180119","1108084040303",673416,5
"서울","서초구","유통","20190603","1123065040001",150397,5
"서울","강남구","가전/가구","20210526","1116069030001",662049,5
"서울","성남시","의료","20190525","1117054010202",244659,5
"경기","구리시","유통","20200512","1103071040009",2565149,5
"경기","송파구","요식/유흥","20171115","1124082020201",251500,5
"서울","구로구","유통","20200718","1109071040001",559336,5
"경남","","요식/유흥","20180531","1116069030012",182589,5
"경기","강동구","미용","20210213","1112055010006",236410,5
"서울","양천구","유통","20161023","1107071040007",50300,5
"서울","성북구","가정생활/서비스","20180417","1112051040010",48037,5
"서울","성남시","전자상거래","20190804","1110059020107",240434,5
"인천","","전자상거래","20160926","1115072030009",188625,5
"서울","","주유","20200102","1115069020113",1140452,5
"부산","용인시","가전/가구","20171008","1120073020008",60360,5
"서울","고양시","의료","20190423","1116053010007",72432,5
"서울","동작구","요식/유흥","20200528","1116073030024",251500,30
"서울","","요식/유흥","20160709","1116055010003",611648,5
"서울","광진구","유통","20190130","1122053020001",475838,5
"서울","용산구","전자상거래","20190922","1124075010123",37725,20
"서울","송파구","의료","20210621","1114076050801",240937,5
"서울","마포구","유통","20180921","1107062080101",189128,5
"경기","부천시","유통","20180704","1103073020001",6614450,10
"서울","","여행/교통","20201029","1111072010206",25150,30
"서울","","요식/유흥","20160617","1103073030002",10060,5
"서울","마포구","주유","20210709","1117071070003",500988,5
"인천","하남시","요식/유흥","20190808","1124080030121",258039,40
"서울","영등포구","요식/유흥","20210409","1124064020026",311850,45
"서울","중구","유통","20181108","1116071020010",15593,15
"서울","중구","음/식료품","20160708","1113069020501",191140,20
"서울","강동구","교육/학원","20200619","1112056010002",125750,10
"경기","광명시","전자상거래","20200403","1114075010206",171020,10
"서울","","유통","20180708","1111061020103",1106600,15
"서울","종로구","전자상거래","20190416","1112059051601",45270,10
"서울","","유통","20170329","1107068020011",22635,10
"서울","강서구","스포츠/문화/레저","20160314","1109060010004",227356,5
"서울","중구","의료","20190412","1121068010001",424029,5
"서울","은평구","유통","20210415","1104055010001",12575,5
"경기","안양시","요식/유흥","20201130","1114073010401",23893,5
"경기","성남시","전자상거래","20160917","1109062020801",272475,10
"제주","중구","의료","20180610","1105065020002",14084,5
"전남","영등포구","가정생활/서비스","20180723","1119073060111",170014,101
"서울","관악구","스포츠/문화/레저","20201227","1102070010006",482377,5
"서울","성동구","음/식료품","20160706","1108066020102",422520,10
"서울","동작구","음/식료품","20200711","1121072030005",819085,5
"서울","강서구","요식/유흥","20190112","1119056040801",140840,5
"서울","강남구","전자상거래","20190422","1112068010406",45270,30
"서울","용산구","전자상거래","20171204","1104055020001",42755,5
"경기","의정부시","요식/유흥","20170626","1111060010401",61366,5
"서울","","유통","20160430","1115052020010",176050,186
"서울","도봉구","요식/유흥","20190323","1114076060002",67402,5
"서울","화성시","전자상거래","20200207","1110056020009",30180,5
"서울","","요식/유흥","20181222","1106073020201",76964,5
"서울","용인시","가정생활/서비스","20170911","1125059010210",251500,5
"서울","마포구","유통","20160705","1121083040006",291740,5
"서울","성동구","요식/유흥","20210118","1124059030119",100449,5
"서울","성북구","미용","20190508","1120053040007",1364498,75
"경기","동작구","음/식료품","20190617","1121064020015",3311299,5
"서울","서초구","유통","20160728","1124071030004",26156,96
"서울","중구","유통","20200708","1124081020102",114986,5
"서울","서대문구","의료","20190206","1112071030102",411957,5
"대구","","유통","20191103","1124067020008",46779,5
"부산","성동구","유통","20160309","1116066020001",60360,10
"서울","송파구","주유","20200723","1123068020102",165487,5
"서울","화성시","요식/유흥","20170312","1123063020009",160960,15
"서울","용산구","가정생활/서비스","20180513","1103069020102",1290648,5
"경기","도봉구","요식/유흥","20170426","1118060020004",224338,5
"서울","동작구","전자상거래","20160726","1102060070001",37725,25
"경기","송파구","전자상거래","20170713","1116069030020",55330,5
"서울","중구","요식/유흥","20200705","1108085080201",3219200,5
"서울","용산구","의료","20190210","1114076020702",49797,5
"서울","성동구","전자상거래","20170525","1125066020801",417440,15
"서울","관악구","여행/교통","20160720","1121058010022",201200,136
"경기","동작구","유통","20170316","1107068020019",323932,5
"서울","성남시","요식/유흥","20161001","1108084010004",128265,5
"경기","고양시","미용","20160715","1124080030111",2535120,5
"서울","중랑구","주유","20170812","1111077020107",56336,5
"서울","성남시","전자상거래","20180827","1104071020101",43258,20
"서울","종로구","스포츠/문화/레저","20210314","1120056010001",40240,25
"서울","영등포구","교육/학원","20200620","1119054060302",40240,5
"서울","중구","요식/유흥","20201113","1124081010004",71929,5
"서울","금천구","의료","20210324","1110059010104",101012,5
"경북","성남시","유통","20160112","1111064040202",254015,5
"서울","부천시","스포츠/문화/레저","20160819","1113075040003",492940,10
"경기","중구","요식/유흥","20160131","1124080030101",16599,5
"서울","","전자상거래","20160101","1117051020502",151906,5
"충남","강남구","전자상거래","20190101","1121058010006",160608,5
"서울","송파구","요식/유흥","20190219","1111076060201",15090,10
"충북","영등포구","전자상거래","20210504","1114075010206",25653,5
"서울","시흥시","여행/교통","20160923","1117064020213",75450,15
"서울","강동구","요식/유흥","20200922","1107055020101",30180,5
"서울","서초구","미용","20170201","1105058010019",21126,35
"경기","영등포구","유통","20210621","1116072020207",54827,10
"서울","성동구","전자상거래","20190710","1108071040102",15090,86
"서울","중랑구","유통","20210228","1108082031102",30180,5
"서울","마포구","스포츠/문화/레저","20170906","1116073020028",756512,5
"서울","용인시","유통","20180801","1118051030001",173032,5
"서울","파주시","음/식료품","20170219","1123052010001",799770,15
"서울","파주시","전자상거래","20210715","1125067020020",109050,5
"제주","마포구","요식/유흥","20201008","1110060020005",106636,10
"부산","서초구","스포츠/문화/레저","20160113","1121061010701",150900,30
"서울","강서구","음/식료품","20180429","1121080010020",35210,20
"서울","강북구","음/식료품","20200617","1120068030103",55330,5
"서울","중구","전자상거래","20171219","1111060011004",6539,5
"서울","송파구","요식/유흥","20160523","1111052020003",14084,10
"서울","용인시","스포츠/문화/레저","20200115","1101055020004",28671,5
"서울","중구","전자상거래","20190925","1123051020007",22132,10
"서울","의정부시","유통","20180524","1111052010609",30180,5
"서울","마포구","유통","20210131","1115066020901",2515,5
"경기","송파구","전자상거래","20170503","1116067010014",50300,5
"서울","남양주시","유통","20210317","1110051030008",100097,5
"서울","안양시","전자상거래","20160625","1118057040001",415579,25
"서울","평택시","의류/잡화","20170206","1111079050002",289175,5
"서울","광진구","요식/유흥","20180428","1113076010002",22635,10
"서울","성동구","자동차","20161124","1108060020003",10060,5
"서울","서초구","유통","20160831","1114073030107",92150,5
"경기","은평구","전자상거래","20180820","1114059030201",376138,30
"서울","성남시","요식/유흥","20160204","1123060011504",545619,5
"전북","구로구","요식/유흥","20200324","1113062020902",196170,10
"서울","구로구","자동차","20190430","1124075020102",130780,10
"경기","남양주시","요식/유흥","20170527","1121054010205",47282,5
"서울","마포구","유통","20191001","1108082040015",56839,10
"서울","서대문구","유통","20160206","1109073010122",237919,50
"서울","파주시","여행/교통","20210120","1124067010015",348579,10
"경기","강남구","요식/유흥","20200413","1103063021602",941415,10
"서울","은평구","요식/유흥","20210606","1112051040012",39234,5
"서울","송파구","요식/유흥","20181225","1121083040011",137822,5
"서울","부천시","유통","20170210","1115066040702",65390,15
"서울","","전자상거래","20201027","1120065010303",3281673,5
"서울","종로구","의료","20160227","1124080010114",407430,5
"서울","","음/식료품","20160816","1114075010404",262566,5
"서울","","유통","20200402","1124077010112",338519,10
"서울","","전자상거래","20160717","1106091020101",122430,5
"서울","중구","전자상거래","20210305","1123058010501",149140,5
"서울","강남구","유통","20190619","1111053020104",88025,5
"서울","성남시","전자상거래","20160916","1114078010201",41749,5
"서울","화성시","음/식료품","20160721","1114066030002",72935,10
"서울","강남구","가정생활/서비스","20210228","1123065030201",955700,5
"서울","남양주시","주유","20180514","1124079030131",123336,5
"경남","성북구","전자상거래","20180420","1101056010003",268149,5
"서울","광진구","유통","20170222","1108066040104",14587,35
"서울","","요식/유흥","20160826","1117055010006",7042,5
"서울","성동구","유통","20180710","1122057020018",439421,30
"서울","마포구","여행/교통","20190819","1103063010108",16096,15
"경남","용산구","여행/교통","20201130","1110053010011",73438,5
"서울","강남구","전자상거래","20210216","1109073010206",40240,5
"서울","하남시","유통","20200727","1103070010016",120972,35
"서울","서초구","주유","20180622","1107070010504",5533,5
"서울","양평군","전자상거래","20160507","1116051020201",18108,5
"경기","","유통","20171202","1122055010101",341990,5
"경북","강서구","주유","20160907","1108083030003",58449,5
"서울","강동구","요식/유흥","20161007","1114063010004",216290,10
"경기","서초구","요식/유흥","20190417","1114073010002",419502,5
"세종","","음/식료품","20210408","1111060010007",215837,10
"서울","서대문구","유통","20200815","1109060020006",111666,10
"서울","동작구","요식/유흥","20161230","1124081022104",302705,5
"경기","중구","주유","20180131","1108084030004",22635,65
"서울","강남구","스포츠/문화/레저","20200118","1107072020003",41246,5
"서울","","요식/유흥","20180716","1117052020204",1367053,5
"서울","광진구","요식/유흥","20180402","1114059040601",35210,5
"서울","동작구","전자상거래","20170904","1117051040206",120720,20
"서울","중구","가정생활/서비스","20190216","1121062020001",25150,5
"서울","강서구","스포츠/문화/레저","20170712","1122057010116",45270,10
"서울","구리시","전자상거래","20191114","1124080020101",65390,5
"서울","송파구","주유","20181008","1108071040106",75450,5
"서울","중구","가전/가구","20190611","1118058010113",700176,10
"서울","중랑구","요식/유흥","20180125","1122057010105",17605,10
"서울","강남구","요식/유흥","20160323","1125052010001",125800,5
"대전","파주시","가정생활/서비스","20190301","1124069020001",140840,10
"경기","강서구","요식/유흥","20200206","1125073020006",29174,5
"서울","강남구","주유","20180819","1124081020006",87924,5
"강원","관악구","의료","20201021","1116065030201",266590,10
"서울","영등포구","가전/가구","20180114","1112072010030",44767,20
"경기","송파구","전자상거래","20170703","1123058010501",12575,5
"서울","","유통","20181213","1106084020207",254015,5
"경기","용산구","음/식료품","20210408","1117069010010",189812,15
