"업종대분류(UPJONG_CLASS1)","기준일자(YMD)","시간대구간(TIME)","고객주소집계구별(TOT_REG_CD)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"스포츠/문화/레저","20160726","02","1104058010102",33701,5
"여행/교통","20180211","03","1124065020002",843028,5
"주유","20191106","03","1121079020116",126253,10
"스포츠/문화/레저","20200815","05","1103051020024",331175,10
"가정생활/서비스","20201227","06","1116074010206",75450,15
"유통","20180911","04","1106090010206",357885,20
"유통","20190708","03","1119061030402",289099,5
"요식/유흥","20200614","02","1115066040103",322021,25
"의료","20200208","05","1121052030010",128265,40
"의류/잡화","20180110","03","1111077030108",58348,5
"요식/유흥","20160628","02","1112052060002",748866,5
"가정생활/서비스","20190330","05","1109063020015",8048,20
"의료","20160612","01","1125065010504",1114296,5
"전자상거래","20160603","05","1111065020506",150900,25
"주유","20160308","06","1113075020004",210294,15
"여행/교통","20170321","06","1112068020004",970539,5
"음/식료품","20201223","03","1110064020002",144361,10
"스포츠/문화/레저","20180513","03","1111061020401",35210,45
"자동차","20160214","06","1114073010005",774972,10
"요식/유흥","20200429","05","1115071010109",1066058,5
"자동차","20171223","05","1106087020014",698214,5
"의료","20180820","05","1119055020201",24144,15
"전자상거래","20170312","04","1108068010503",365631,50
"여행/교통","20180828","03","1121081010103",25150,5
"요식/유흥","20160904","04","1117064010018",769590,40
"전자상거래","20190105","06","1122061010501",1106600,15
"전자상거래","20160624","04","1117064020601",193152,10
"스포츠/문화/레저","20200903","05","1112058032201",679452,30
"가정생활/서비스","20190501","02","1108061040001",532224,5
"유통","20200624","02","1115072010004",537828,5
"전자상거래","20181104","05","1123063010502",457076,45
"의료","20180503","01","1105065030003",2605002,5
"유통","20190226","06","1101067010102",100600,40
"교육/학원","20160102","03","1107057010002",708727,5
"의료","20191229","01","1114076050903",457730,30
"의료","20181110","03","1105062030302",365681,10
"전자상거래","20170820","04","1117072010004",435497,5
"자동차","20200804","03","1104072010015",1449646,91
"미용","20190930","01","1106086040006",10060,5
"유통","20201123","04","1121061010005",350591,55
"유통","20170925","04","1111058030203",70420,40
"전자상거래","20210318","03","1106083040101",186110,5
"요식/유흥","20170117","03","1108060030006",1509000,10
"의료","20190829","06","1112056020006",30180,45
"전자상거래","20160409","05","1107071040012",135056,5
"음/식료품","20160815","05","1115051010802",120217,25
"요식/유흥","20170226","01","1121072010003",2012,5
"요식/유흥","20170405","03","1120053040110",603600,10
"요식/유흥","20210701","03","1121065020005",406223,40
"주유","20160524","04","1124052020301",748263,15
"유통","20200308","04","1112071030208",198182,5
"스포츠/문화/레저","20190914","06","1110053010202",22635,211
"전자상거래","20180722","05","1114070020007",185607,25
"여행/교통","20171130","06","1115064010112",688758,176
"음/식료품","20210628","04","1122064020503",84806,5
"전자상거래","20201210","05","1124058010009",280070,10
"여행/교통","20170708","02","1115058030101",587001,15
"요식/유흥","20180123","03","1123059010804",356124,10
"전자상거래","20200802","05","1114061020003",171020,10
"유통","20180630","06","1105062030405",298782,30
"스포츠/문화/레저","20200516","05","1116055030031",380771,5
"유통","20181211","01","1123067010401",618690,60
"전자상거래","20201231","03","1124057010007",349585,10
"요식/유흥","20180205","03","1107059030303",1700140,15
"전자상거래","20170819","03","1108076010002",1080746,5
"가정생활/서비스","20170820","02","1113076010101",20120,5
"요식/유흥","20190201","02","1113074010205",337463,35
"전자상거래","20170907","04","1104065040103",211260,25
"의류/잡화","20180628","01","1124064020025",7728042,10
"여행/교통","20210619","03","1123065040007",2081062,25
"유통","20190808","04","1108064030001",34707,15
"유통","20170501","04","1107065030004",103618,60
"유통","20170531","04","1107059030902",400489,5
"요식/유흥","20181113","01","1114061010103",9557,5
"유통","20201220","03","1121068010005",50803,5
"전자상거래","20161129","01","1108065020101",28168,5
"자동차","20160517","06","1114060020004",180124,15
"요식/유흥","20180922","06","1120073010301",100600,5
"유통","20200601","03","1103071040009",52815,15
"자동차","20170517","04","1119054010001",50300,50
"요식/유흥","20191008","02","1123078010002",26659,20
"자동차","20190925","04","1118055020003",1746466,10
"자동차","20170608","02","1123072020304",40240,5
"유통","20200502","05","1114070012501",367190,35
"가정생활/서비스","20161026","02","1107064040011",2698771,25
"미용","20210102","04","1104058010101",241440,5
"가전/가구","20180816","05","1107062010001",1327417,15
"가정생활/서비스","20171114","06","1117051030101",287213,10
"전자상거래","20160314","02","1111065041401",19114,10
"의료","20161217","03","1124052010006",53821,15
"전자상거래","20180513","05","1116063010013",181583,35
"요식/유흥","20200304","04","1101068010002",28168,5
"여행/교통","20201015","01","1102071010004",124090,5
"전자상거래","20200903","06","1112071040506",334998,10
"가정생활/서비스","20190427","06","1123051010101",80480,10
"스포츠/문화/레저","20171205","05","1101056020002",382280,30
"주유","20200429","02","1108085060001",21126,5
"유통","20160927","04","1115071020401",1176301,5
"교육/학원","20180116","05","1111078020104",251500,5
"여행/교통","20191012","06","1107072020102",120675,5
"요식/유흥","20160303","03","1112071030210",434592,45
"주유","20170328","02","1109061020022",394302,10
"미용","20210723","06","1122057010111",87170,20
"요식/유흥","20200219","06","1104071010304",959724,5
"음/식료품","20210226","05","1111066040602",121726,5
"의류/잡화","20171118","04","1112072010025",256681,30
"전자상거래","20161230","04","1113052020010",436000,5
"여행/교통","20210112","02","1121069030008",78518,5
"가정생활/서비스","20171210","04","1123065030003",150900,5
"자동차","20180630","04","1122059010001",72935,5
"유통","20191124","03","1101061030201",747961,5
"교육/학원","20180516","02","1106086040107",40139,101
"유통","20200518","02","1116067010008",1006000,25
"요식/유흥","20210423","04","1121078020007",653649,5
"의류/잡화","20180206","06","1107071040002",329465,30
"주유","20190110","03","1112072010025",220314,5
"요식/유흥","20160602","05","1115058030402",430266,5
"유통","20180603","05","1102069010002",305975,25
"유통","20160430","03","1104071020104",657119,5
"요식/유흥","20200802","03","1123063010301",729199,5
"전자상거래","20190523","02","1118054030005",37725,15
"스포츠/문화/레저","20200301","04","1119067040002",150900,5
"유통","20200115","06","1113071010003",245313,5
"요식/유흥","20161215","03","1124081010001",511652,20
"유통","20200117","02","1108084010102",415478,5
"의료","20210704","04","1107059020007",524528,25
"음/식료품","20200922","02","1113076010401",47785,5
"가정생활/서비스","20180608","03","1105053010001",40240,5
"유통","20160408","05","1107054010204",22635,5
"가정생활/서비스","20171020","06","1108076040008",424029,15
"음/식료품","20201126","05","1117054040008",1112244,106
"유통","20190609","01","1108059020407",241440,5
"의료","20161229","03","1115071030104",619339,25
"교육/학원","20200515","05","1114071010011",242446,70
"주유","20170819","01","1124080020102",291740,15
"주유","20191027","06","1106086010107",313017,5
"음/식료품","20191029","04","1114070020901",699170,5
"요식/유흥","20210416","04","1118054020005",3606309,45
"전자상거래","20180622","02","1101055020005",27665,20
"유통","20210723","05","1107069040101",137319,10
"유통","20190703","04","1107071040004",17605,10
"유통","20190807","05","1115070020602",138828,10
"가정생활/서비스","20190204","04","1105056010005",259649,86
"유통","20180114","04","1107064020009",2942651,5
"유통","20190915","02","1124061020303",193152,10
"유통","20200211","04","1105062020002",123235,40
"요식/유흥","20191118","03","1124079020131",1026120,25
"의류/잡화","20210205","03","1119054050404",42403,45
"유통","20200315","04","1116072020205",251500,35
"전자상거래","20180304","05","1124081020504",181080,35
"여행/교통","20210111","04","1121081020005",1084619,5
"가정생활/서비스","20180309","05","1116051012001",45270,15
"유통","20200708","05","1125063020301",112672,5
"유통","20180906","05","1123064030011",812848,5
"주유","20180912","01","1110055030015",794790,70
"미용","20170211","05","1109070030003",372220,40
"주유","20191105","04","1122051010002",503000,15
"유통","20181010","05","1119072040102",262063,5
"의료","20170209","02","1107071020014",125750,30
"전자상거래","20160428","05","1116054030404",80480,10
"가정생활/서비스","20180626","03","1123076010703",150900,10
"가정생활/서비스","20170625","04","1111061030301",3757410,25
"전자상거래","20180506","03","1105057010001",67905,5
"주유","20180916","04","1115066040304",8551,45
"유통","20170501","04","1103052020005",61366,15
"스포츠/문화/레저","20170104","04","1125051010104",482427,5
"요식/유흥","20190403","06","1124051010004",233845,40
"전자상거래","20210205","05","1120063010012",50300,5
"음/식료품","20160604","02","1110065010101",1206697,10
"미용","20160913","06","1124081020601",425437,106
"음/식료품","20180407","04","1122068040003",5533,5
"요식/유흥","20170407","03","1112074030008",107139,5
"스포츠/문화/레저","20190708","05","1124067011307",15090,5
"전자상거래","20160320","03","1115053030004",538210,10
"전자상거래","20161014","06","1118059020015",10060,10
"유통","20210517","04","1108065020008",324938,10
"유통","20160226","02","1114078010401",390630,5
"여행/교통","20170309","06","1116073030017",65390,15
"전자상거래","20181219","05","1117068031502",251500,10
"의료","20201201","04","1112065020902",715719,10
"스포츠/문화/레저","20171219","03","1108071020203",420910,5
"가정생활/서비스","20210709","05","1114078010415",111918,25
"음/식료품","20200207","06","1116070010003",307836,30
"주유","20210201","04","1114078020002",1745360,5
"음/식료품","20200224","03","1114078010406",593651,25
"음/식료품","20180505","06","1109074010007",146373,10
"전자상거래","20180311","04","1112066010006",519599,5
"유통","20210213","02","1105056020005",51306,5
"전자상거래","20210721","03","1107073040005",14587,30
"의류/잡화","20170804","04","1122053011601",790414,5
"의료","20200313","05","1116059010014",1279431,15
"스포츠/문화/레저","20200802","03","1112056020020",2046878,236
"요식/유흥","20210115","04","1112074010012",5,15
"주유","20181019","02","1111060010801",127259,5
"주유","20210325","06","1122055020804",623217,5
"요식/유흥","20210629","05","1108077040003",554402,25
"요식/유흥","20200227","03","1123078040401",63479,5
"음/식료품","20161107","05","1122066050101",15090,70
"여행/교통","20190522","03","1121071010009",46779,10
"의료","20180607","05","1122057020009",210153,5
"유통","20190512","03","1116066010205",1173952,40
"전자상거래","20181106","03","1116067020304",47619,5
"유통","20160403","01","1122057010107",393130,10
"여행/교통","20191128","06","1115070020401",186221,5
"여행/교통","20200106","03","1122061020003",20120,10
"전자상거래","20170317","04","1116058010016",100600,5
"요식/유흥","20200826","03","1107055030007",506018,20
"요식/유흥","20160327","03","1120056020008",452700,5
"가정생활/서비스","20210731","05","1116061010003",1190048,5
"여행/교통","20171121","06","1114063020001",67402,15
"스포츠/문화/레저","20181208","04","1114075010001",9054,30
"스포츠/문화/레저","20190303","05","1125061010101",232386,5
"유통","20170227","03","1111078020302",1815830,15
"유통","20200320","06","1109072040011",108648,5
"의료","20171119","04","1114069020003",129020,5
"의료","20180122","05","1121063020011",70420,5
"가전/가구","20180920","03","1115058010011",5954202,15
"전자상거래","20160604","01","1116070060004",120720,5
"전자상거래","20181205","05","1110059010104",75903,10
"의료","20190106","03","1123064070002",218554,5
"전자상거래","20160604","02","1124080010125",109101,5
"유통","20190220","02","1114068010013",1319555,10
"여행/교통","20170608","05","1112066030001",1341199,15
"자동차","20160513","03","1111053030320",80480,25
"주유","20210203","04","1123066022407",164230,15
"스포츠/문화/레저","20160414","05","1104070020015",452197,15
"미용","20160505","02","1103059010201",211260,20
"의료","20161216","03","1104065040004",331980,30
"미용","20180210","05","1118058010602",75450,30
"주유","20190908","04","1101054010002",1036733,5
"유통","20180209","02","1125053021102",181080,10
"가정생활/서비스","20180607","03","1112051010104",288974,15
"전자상거래","20180815","03","1112068020006",15090,5
"음/식료품","20160101","06","1124065010009",759530,20
"스포츠/문화/레저","20180409","01","1119076011202",97783,15
"의류/잡화","20210728","06","1103074050016",10563,10
"자동차","20161022","03","1121073010018",236410,5
"자동차","20191218","03","1116071020001",328208,5
"전자상거래","20171214","06","1113066020008",21629,20
"유통","20210106","03","1108083020102",51457,20
"교육/학원","20160723","06","1123053030010",2218230,30
"가정생활/서비스","20201117","03","1123052020012",5030,5
"가정생활/서비스","20170602","04","1103059010006",1046763,10
"의료","20200416","03","1122054010216",352100,20
"전자상거래","20180607","03","1122061010012",601588,5
"가정생활/서비스","20170709","02","1110060020022",11394962,50
"전자상거래","20210530","04","1121068020011",182086,30
"유통","20180526","04","1110055030016",111666,30
"전자상거래","20200507","04","1115052010302",175044,35
"요식/유흥","20170419","03","1122054010102",106133,5
"유통","20200621","03","1124063020028",924514,5
"유통","20190619","04","1119070020301",643040,10
"주유","20160201","04","1122055020201",43258,25
"가정생활/서비스","20160424","05","1101072010019",1328624,5
"의류/잡화","20190324","05","1116052010004",30180,25
"음/식료품","20190819","04","1104071020103",661445,30
"전자상거래","20180318","02","1119072050007",845040,10
"의료","20200906","05","1104072020101",940132,45
"여행/교통","20210101","03","1112051010103",45270,15
"유통","20200809","01","1115061020015",156785,5
"전자상거래","20190629","02","1109075040007",60360,5
"음/식료품","20180101","02","1118059020011",6539,40
"미용","20210606","04","1123064040003",627090,5
"교육/학원","20181103","05","1112071040502",316890,15
"요식/유흥","20160420","03","1118051040007",210757,10
"음/식료품","20170511","04","1113072040003",146373,5
"교육/학원","20210714","04","1112071060204",2012,5
"유통","20170321","05","1120054010002",251500,80
"가정생활/서비스","20210203","03","1124077010108",897101,5
"가정생활/서비스","20161128","03","1117052020703",997449,5
"의료","20160615","02","1108083020102",104624,55
"의료","20191119","04","1112056020002",78468,50
"가정생활/서비스","20190501","03","1112071040508",50300,5
"전자상거래","20160212","02","1123076010506",20120,10
"전자상거래","20210129","06","1110065010212",712701,30
"미용","20170714","03","1102072010105",52815,5
"전자상거래","20200510","04","1108071040112",30180,45
"전자상거래","20160106","04","1120054020101",10060,5
"의료","20180413","04","1121073010017",894988,106
"여행/교통","20190316","04","1117051040203",90540,5
"주유","20170929","03","1107055040001",18611,35
"요식/유흥","20210202","02","1122055020804",1372586,5
"스포츠/문화/레저","20171207","03","1125054010903",565271,5
"의료","20160427","02","1105063030901",910933,10
"유통","20181214","03","1104068010005",722308,5
"유통","20190916","01","1115058010016",17605,30
"음/식료품","20170412","02","1106089010102",12575,70
"전자상거래","20180126","05","1110059040014",331980,5
"의료","20170211","05","1119071010008",373729,20
"유통","20160614","06","1124082021002",50300,45
"요식/유흥","20210425","04","1118060010014",459742,5
"전자상거래","20170808","03","1105062030506",301800,5
"주유","20180531","05","1114077050301",2157870,35
"여행/교통","20160731","04","1103071040006",48791,50
"요식/유흥","20160326","01","1123065010801",716825,5
"전자상거래","20180619","04","1125072020311",65390,10
"전자상거래","20170727","02","1120069010006",90540,25
"유통","20190406","03","1123072010303",1211325,20
"교육/학원","20210107","03","1119072030101",266590,15
"전자상거래","20200426","04","1105063030203",547264,25
"여행/교통","20160625","04","1103072030001",10559831,5
